"APPLIC";"NM_PAGINA_WEB";"NM_AZIONE_PAGINA";"DS_AZIONE_PAGINA"
"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"button/AmministrazioneForm#ParametriAmbienteButtonList/parametriAmministrazioneAmbienteButton";"Carica pagina parametri amministrazione"
"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"button/AmministrazioneForm#ParametriAmbienteButtonList/parametriConservazioneAmbienteButton";"Carica pagina parametri conservazione"
"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"button/AmministrazioneForm#ParametriAmbienteButtonList/parametriGestioneAmbienteButton";"Carica pagina parametri gestione"
"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"toolbar/delete";"Elimina ambiente"
"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"toolbar/edit";"Modifica ambiente"
"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"toolbar/insert";"Salva ambiente"
"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"toolbar/update";"Salva modifica ambiente"
"SACER_PREINGEST";"/amministrazione/attribDatiSpecDetail";"toolbar/edit";"Modifica attributo XSD"
"SACER_PREINGEST";"/amministrazione/attribDatiSpecDetail";"toolbar/update";"Salva modifica attributo XSD"
"SACER_PREINGEST";"/amministrazione/cercaAmbienteVers";"button/AmministrazioneForm#VisAmbienteVers/visAmbienteButton";"Ricerca ambienti"
"SACER_PREINGEST";"/amministrazione/cercaAmbienteVers";"detail/AmministrazioneForm#AmbienteVersList/delete";"Elimina ambiente"
"SACER_PREINGEST";"/amministrazione/cercaAmbienteVers";"detail/AmministrazioneForm#AmbienteVersList/edit";"Modifica ambiente"
"SACER_PREINGEST";"/amministrazione/cercaAmbienteVers";"detail/AmministrazioneForm#AmbienteVersList/insert";"Inserisci ambiente"
"SACER_PREINGEST";"/amministrazione/cercaAmbienteVers";"detail/AmministrazioneForm#AmbienteVersList/view";"Dettaglio ambiente"
"SACER_PREINGEST";"/amministrazione/cercaMsgInCoda";"button/AmministrazioneForm#VisCoda/inviaSelezionati";"Invia i messaggi selezionati"
"SACER_PREINGEST";"/amministrazione/cercaMsgInCoda";"button/AmministrazioneForm#VisCoda/inviaTutti";"Invia tutti i messaggi"
"SACER_PREINGEST";"/amministrazione/cercaMsgInCoda";"button/AmministrazioneForm#VisCoda/visCodaButton";"Ricerca messaggi"
"SACER_PREINGEST";"/amministrazione/cercaMsgInCoda";"detail/AmministrazioneForm#CodaList/sendDmqMessage";"Invia messaggio alla coda"
"SACER_PREINGEST";"/amministrazione/cercaSopClass";"button/AmministrazioneForm#VisSopClass/visSopClassButton";"Ricerca SOP CLASS"
"SACER_PREINGEST";"/amministrazione/cercaSopClass";"detail/AmministrazioneForm#SopClassList/delete";"Elimina SOP CLASS"
"SACER_PREINGEST";"/amministrazione/cercaSopClass";"detail/AmministrazioneForm#SopClassList/edit";"Modifica SOP CLASS"
"SACER_PREINGEST";"/amministrazione/cercaSopClass";"detail/AmministrazioneForm#SopClassList/insert";"Inserisci SOP CLASS"
"SACER_PREINGEST";"/amministrazione/cercaSopClass";"detail/AmministrazioneForm#SopClassList/view";"Dettaglio SOP CLASS"
"SACER_PREINGEST";"/amministrazione/cercaVers";"button/AmministrazioneForm#VisVers/importaVersatoreButton";"Importa versatore"
"SACER_PREINGEST";"/amministrazione/cercaVers";"button/AmministrazioneForm#VisVers/visVersButton";"Ricerca versatori"
"SACER_PREINGEST";"/amministrazione/cercaVers";"detail/AmministrazioneForm#VersList/delete";"Elimina versatore"
