"APPLIC";"NM_PAGINA_WEB";"DS_PAGINA_WEB";"TI_HELP_ON_LINE";"ENTRY_MENU"

"SACER_PREINGEST";"/amministrazione/ambienteVersDetail";"Dettaglio ambiente";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Ambienti"
"SACER_PREINGEST";"/amministrazione/attribDatiSpecDetail";"Dettaglio attributo del tipo oggetto";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/cercaAmbienteVers";"Gestione ambienti";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Ambienti"
"SACER_PREINGEST";"/amministrazione/cercaMsgInCoda";"Gestione code";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione Coda"
"SACER_PREINGEST";"/amministrazione/cercaSopClass";"Gestione Sop Class";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione SOP Class"
"SACER_PREINGEST";"/amministrazione/cercaVers";"Gestione versatori";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/dettaglioSetParametriVersatore";"Dettaglio set parametri versatore";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/dettaglioStatoVersamentoOggetto";"Dettaglio stato dell'oggetto versato";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Stati dell'oggetto versato"
"SACER_PREINGEST";"/amministrazione/dettaglioVersatoreGenerazioneOggetti";"Dettaglio versatore generazione oggetti";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/duplicaVersDetail";"Duplicazione versatore";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/enteConvenzionatoDetail";"Enti convenzionati - Dettaglio associazione struttura - enti convenzionati";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/listaStatiVersamentoOggetto";"Stati dell'oggetto versato";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Stati dell'oggetto versato"
"SACER_PREINGEST";"/amministrazione/parametriAmbienteVers";"Gestione ambienti versatori - Dettaglio parametri ambiente versatore";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Ambienti"
"SACER_PREINGEST";"/amministrazione/parametriTipoObject";"Gestione tipi oggetto - Dettaglio parametri tipo oggetto";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/parametriVersatore";"Gestione versatori - Dettaglio parametri versatore";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/sopClassDicomDetail";"Dettaglio Sop Class";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione SOP Class"
"SACER_PREINGEST";"/amministrazione/sopClassDicomVersDetail";"Associazione Sop Class - Versatore";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/tipoFileObjectDetail";"Dettaglio tipo file oggetto";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/tipoObjectDetail";"Dettaglio tipo oggetto";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/versDetail";"Dettaglio versatore";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/xsdDatiSpecDetail";"Dettaglio versione XSD del tipo oggetto";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazione/xsdDatiSpecMod";"Modifica XSD tipo oggetto/file";"HELP_PAGINA";"Menu principale - Amministrazione versatori - Gestione Versatori"
"SACER_PREINGEST";"/amministrazioneSistema/configurationDetail";"Dettaglio parametro";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Registro parametri"
"SACER_PREINGEST";"/amministrazioneSistema/gestioneJobRicerca";"Gestione Job";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione Job"
"SACER_PREINGEST";"/amministrazioneSistema/registroParametri";"Registro parametri";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Registro parametri"
"SACER_PREINGEST";"/amministrazioneTrasformazioni/DettaglioSetParametri";"Dettaglio set parametri";"HELP_PAGINA";"Menu principale - Amministrazione delle trasformazioni - Gestione trasformazioni"
"SACER_PREINGEST";"/amministrazioneTrasformazioni/DettaglioTrasformazione";"Dettaglio trasformazione";"HELP_PAGINA";"Menu principale - Amministrazione delle trasformazioni - Gestione trasformazioni"
"SACER_PREINGEST";"/amministrazioneTrasformazioni/InserimentoNuovaVersione";"Inserimento nuova versione";"HELP_PAGINA";"Menu principale - Amministrazione delle trasformazioni - Gestione trasformazioni"
"SACER_PREINGEST";"/amministrazioneTrasformazioni/InserimentoSetParametri";"Inserimento set parametri";"HELP_PAGINA";"Menu principale - Amministrazione delle trasformazioni - Gestione trasformazioni"
"SACER_PREINGEST";"/amministrazioneTrasformazioni/InserimentoTrasformazioni";"Inserimento trasformazioni";"HELP_PAGINA";"Menu principale - Amministrazione delle trasformazioni - Gestione trasformazioni"
"SACER_PREINGEST";"/amministrazioneTrasformazioni/RicercaTrasformazioni";"Gestione trasformazioni";"HELP_PAGINA";"Menu principale - Amministrazione delle trasformazioni - Gestione trasformazioni"
