"APPLIC";"NM_SERVIZIO_WEB";"DS_SERVIZIO_WEB"
"SACER_PREINGEST";"AppInfo";"Informazioni dell'applicazione"
"SACER_PREINGEST";"InvioOggettoAsincrono";"Invio oggetto"
"SACER_PREINGEST";"NotificaInAttesaPrelievo";"Notifica oggetto puo essere prelevato"
"SACER_PREINGEST";"NotificaOggettoTrasformato";"Notifica di avvenuta trasformazione di un oggetto"
"SACER_PREINGEST";"NotificaPrelievo";"Notifica oggetto prelevato"
"SACER_PREINGEST";"NotificaTrasferimento";"Notifica trasferimento files di un oggetto"
"SACER_PREINGEST";"PuliziaNotificato";"Elimina oggetto prelevato"
"SACER_PREINGEST";"RecStatoOggettoPing";"Recupero stato versamento oggetto"
"SACER_PREINGEST";"ReplicaUtente";"Replica utente"
"SACER_PREINGEST";"RicercaDiario";"Ricerca diario"
"SACER_PREINGEST";"RicercaRecuperati";"Ricerca oggetti recuperati"
"SACER_PREINGEST";"RicercaRestituzioniOggetti";"Ricerca richieste recupero oggetto"
"SACER_PREINGEST";"RichiestaChiusuraWarning";"Richiesta chiusura studi Dicom in warning"
"SACER_PREINGEST";"RichiestaRestituzioneOggetto";"Richiesta recupero oggetto"
"SACER_PREINGEST";"RichiestaSopClassList";"Richista lista SOP CLASS Dicom"
"SACER_PREINGEST";"StatusMonitor";"Status dell'applicazione ai fini di monitoraggio esterno"
